time,open,high,low,close,Volume,Smoothed HA (Open),Smoothed HA (High),Smoothed HA (Low),Smoothed HA (Close),TDFI,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1633354200,62.55,62.7435,58.235,59.52,128617932,69.85399029364648,70.095072373667,67.15243331985099,68.58906402474153,-1,29.268957781203184,42.08779696285017,NaN,NaN,29.268957781203184,NaN,NaN,NaN
1633440600,59.985,63,59.8605,61.81,81306412,69.221527159194,69.41877613375624,66.4055614077328,67.87358327295297,-0.3644128987674709,36.34022930431,40.52275007112055,NaN,NaN,NaN,NaN,NaN,NaN
1633527000,60.13,63.16,59.63,63.03,117495378,68.54755521607348,68.73164635015186,65.68160380019144,67.18351489289772,-0.1456700776866884,39.79356952892418,39.170209614496244,NaN,NaN,NaN,NaN,NaN,NaN
1633613400,64.6625,66.17,64.365,64.735,75407566,67.86553505448559,68.18698438426291,65.15344692902106,66.64882812962443,-0.026039057441002253,44.33802783458236,38.90333080196838,NaN,NaN,NaN,NaN,NaN,NaN
1633699800,65.335,65.461,63.485,63.74,78566086,67.257181592055,67.73226077455998,64.74473210025342,66.22003523422251,-0.0392773231377459,42.32999485964066,39.34140275543227,NaN,NaN,NaN,NaN,NaN,NaN
1633959000,62.93,64.845,62.2675,62.325,68107650,66.73860841313875,67.33241238212875,64.38923764131793,65.82958180063204,-0.07870344534265541,39.58439926374819,39.559923546822525,NaN,NaN,NaN,NaN,NaN,NaN
1634045400,63.085,63.31,61.305,61.69,87201742,66.28409510688539,66.93177296629864,64.04930374264814,65.45309374010844,-0.0897365174080848,38.38127705543315,39.1802261893817,NaN,NaN,NaN,NaN,NaN,NaN
1634131800,62.89,63.475,61.8,63.135,70460676,65.86859442349692,66.54930284607191,63.74738753799652,65.11418541066344,-0.0201813875245316,42.6527447560371,38.678340933013445,NaN,NaN,NaN,NaN,NaN,NaN
1634218200,65.055,66.725,64.7,66.62,60874914,65.49138991708017,66.29907729960371,63.57676966420505,64.9091580029965,0.0001458884616507664,51.40253544194394,38.758885668441636,NaN,NaN,NaN,NaN,NaN,NaN
1634304600,67.3,67.925,66.71,67.855,51429062,65.20027396003833,66.18532045280752,63.566132255660186,64.85582038288901,0.002530574487657577,54.07657691314581,39.383428083420505,NaN,NaN,NaN,NaN,NaN,NaN
1634563800,67.125,70.01,66.79,69.89,50438266,65.02804717146367,66.23560486271064,63.66558548611659,64.93905485594468,0.004204240942155173,58.16174755390813,41.15198954000306,NaN,NaN,NaN,NaN,NaN,NaN
1634650200,70.52,71.515,70.14,71.425,53225350,64.98355101370417,66.4437917862752,63.86880963478384,65.19182983853749,0.028915506669986827,60.98128315404802,43.17017429469735,NaN,NaN,NaN,NaN,NaN,NaN
1634736600,71.745,72.11,70.34,71.2,59354868,65.08769042612083,66.77046925456965,64.17562929791329,65.56457739420583,0.044519165281352545,60.33938847964696,45.225480789574384,NaN,NaN,NaN,NaN,NaN,NaN
1634823000,70.7175,72.605,70.565,72.475,46050156,65.32613391016332,67.18203122079751,64.57990207799352,66.01331080273732,0.11277697570140426,62.73326067073092,47.17028518552161,NaN,NaN,NaN,NaN,NaN,NaN
1634909400,71.735,72.33,69.68,70.64,70124156,65.66972235645032,67.62772043056005,65.05916903922049,66.48173363645718,0.03451563082741809,57.366519820271,49.17725390259788,NaN,NaN,NaN,NaN,NaN,NaN
1635168600,71.494,73.365,70.36,72.76,59475726,66.07572799645375,68.11573649889496,65.5761843732657,66.97755442146114,0.12192606962442758,61.467813703332325,50.9720813596709,NaN,NaN,NaN,NaN,NaN,NaN
1635255000,74.16,75.5975,72.825,73.44,83987788,66.52664120895744,68.68975596616396,66.11792369907631,67.54180042063037,0.16107218113645907,62.70705125233559,52.60875862562886,NaN,NaN,NaN,NaN,NaN,NaN
1635341400,73.78,75.86,73.63,74.02,72533916,67.0342208147939,69.31104979247911,66.69981557943662,68.14367417476413,0.19160179212954528,63.77713429682387,53.99726623007468,NaN,NaN,NaN,NaN,NaN,NaN
1635427800,75.155,76.625,74.7,76.45,65368752,67.588947494779,69.96874070786433,67.31534321130488,68.79745167382015,0.4993478258683232,67.9291940576922,55.825780458506934,NaN,NaN,NaN,NaN,NaN,NaN
1635514200,74.595,77.7,74.39,77.58,67257164,68.19319958429958,70.66459195839941,67.96934153418438,69.47539523355782,0.6930527280715404,69.67022629712505,57.97476810374815,NaN,NaN,NaN,NaN,NaN,NaN
1635773400,77.9,78.465,76.59,78.345,65022734,68.83429740892869,71.38827446633118,68.65114082247081,70.20524521210757,0.8014670770542119,70.82494524977847,60.29217297477281,NaN,NaN,NaN,NaN,NaN,NaN
1635859800,78.0125,79.685,77.98,79.39,60085618,69.51977131051812,72.14699500581175,69.36991592159804,70.97685155437286,0.9841541534509628,72.37230506685042,62.41499871125948,NaN,NaN,NaN,NaN,NaN,NaN
1635946200,79.67,82.16,79.035,81.91,72605226,70.24831143244549,72.98590726758596,70.1257024778745,71.81460120318275,1,75.7169620674247,64.15174347022239,NaN,NaN,NaN,NaN,NaN,NaN
1636032600,82.715,85.67385,82.365,84.965,80439724,71.03145631781412,73.96692928521709,70.93113990043784,72.77590836633043,1,79.03114850754962,65.93421286982266,NaN,NaN,NaN,NaN,NaN,NaN
1636119000,86.23,86.83,84.365,85.28,85252714,71.90368234207227,75.04887198180596,71.82160527330986,73.84588561219523,0.9474183804223685,79.34418876814576,67.44724438512534,NaN,NaN,NaN,NaN,79.34418876814576,NaN
1636381800,85.25,85.95,84.53,84.93,56459826,72.87478397713375,76.13351553962806,72.80763001178268,74.93633697142059,0.7141489966548944,77.95169490789,68.65941665325691,NaN,NaN,NaN,NaN,NaN,NaN
1636468200,85.625,85.8974,82.285,83.18,88118820,73.90556047427717,77.18237228363698,73.85061632080811,75.97409409713605,0.318643102751661,71.22126882486776,69.4366938207727,NaN,NaN,NaN,NaN,NaN,NaN
1636554600,81.36,83.2,78.25,79.535,96976726,74.93982728570661,78.08342936735743,74.81035372663817,76.82125897973447,0.037107890295422996,59.66582091761225,69.21759098126422,NaN,NaN,59.66582091761225,NaN,NaN,NaN
1636641000,81.375,81.495,79.95,80.18,57719030,75.88054313272055,78.79939553522459,75.62272823048677,77.5182450918959,0.032389695491298304,60.87550695035729,69.46823291912753,NaN,NaN,NaN,NaN,NaN,NaN
