time,open,high,low,close,Smoothed HA (Open),Smoothed HA (High),Smoothed HA (Low),Smoothed HA (Close),TDFI,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1686576600,174.45,179.71,171.0801,179.54,143.03305128000554,154.30266495237242,142.7985641633377,149.0583676305065,0.6997531190672784,74.53179789779563,74.42728307012854,NaN,NaN,NaN,NaN,NaN,NaN
1686663000,185.83,186.96,178,184.09,146.04570945525603,157.4095638667547,145.85385635980052,152.1812290266101,0.8185200558026224,75.94196580919613,75.04758514399467,NaN,NaN,NaN,NaN,NaN,NaN
1686749400,184.3,192.11,180.44,191.76,149.11346924093309,160.63651061549805,148.9564985264695,155.42781462146922,1,78.13934203032605,75.77696074263206,NaN,NaN,NaN,NaN,NaN,NaN
1686835800,187.5,201.1799,185.2,197.99,152.27064193120117,164.13697544348335,152.14221134664004,158.84212928839244,1,79.75668898940592,76.2726266068591,NaN,NaN,NaN,NaN,79.75668898940592,NaN
1686922200,203.51,203.51,189.71,190.7,155.55638560979682,167.7818494045815,155.45130604061043,162.3844513616752,0.45727149840662795,72.95496527317972,75.91642265441412,NaN,NaN,NaN,NaN,NaN,NaN
1687267800,188,195.315,185.1184,193.21,158.97041848573602,171.13199315028913,158.88444429276532,165.68225039051157,0.4219569469635054,73.7839564291484,75.46844720240532,NaN,NaN,NaN,NaN,NaN,NaN
1687354200,192.39,193.63,176.8,178.94,162.3263344381238,174.11838712385244,161.80414371275077,168.54301666963306,0.05350931912034326,62.12490932811016,74.51332870419199,NaN,NaN,NaN,NaN,NaN,NaN
1687440600,174.64,186.98,173.72,186.79,165.43467555387844,176.54272070536663,164.1525658463691,170.8544216442637,0.10353621570463008,65.36697570489524,73.58407750479508,NaN,NaN,NaN,NaN,NaN,NaN
1687527000,179.61,187.33,176.82,182.62,168.14454859907107,178.52222597215328,166.14340823841545,172.75678624234658,0.03608926989117743,62.31546335999088,72.36267470322922,NaN,NaN,NaN,NaN,NaN,NaN
1687786200,182,187.495,166.02,166.51,170.4506674207088,180.1439699615839,167.47204130289555,174.12116134544846,-2.5002616489327816e-8,52.180754791668235,70.35720634196966,NaN,NaN,52.180754791668235,NaN,NaN,NaN
1687872600,170.99,178.4499,167.3,177.01,172.28591438307862,181.17359792272063,168.35576950960055,175.0119021551134,0.002889460147075117,57.08024720968211,68.64080037210108,NaN,NaN,NaN,NaN,NaN,NaN
1687959000,174.06,187.77,174.06,182.03,173.64890826909598,182.0809158827305,169.13592576335844,175.75588890686882,0.00752418334851523,59.23093902859429,68.16806508003042,NaN,NaN,NaN,NaN,NaN,NaN
1688045400,183.38,184.98,175.7,177.71,174.7023985879824,182.7841315127295,169.8751733129531,176.408858917321,0.0011276806629484531,56.60236471502852,67.23461363132199,NaN,NaN,NaN,NaN,NaN,NaN
1688131800,184.3,190.9999,183.57,187.21,175.5556287526517,183.52647481834106,170.82276305068333,177.18022284440647,0.012054520559527071,60.729619613551726,66.48142787004096,NaN,NaN,NaN,NaN,NaN,NaN
1688391000,191.04,194.46,188.78,191.92,176.3679257985291,184.38485422727635,172.0507276502983,178.17162438751637,0.02372803421131287,62.627335833159165,65.63110915113836,NaN,NaN,NaN,NaN,NaN,NaN
1688563800,190.34,196.39,190.07,192.91,177.26977509302273,185.3563361711991,173.4684319640803,179.30655849860594,0.023410883783336948,63.03172021572328,64.70894875160458,NaN,NaN,NaN,NaN,63.03172021572328,NaN
1688650200,186.72,189.88,181.5,188.46,178.28816679581433,186.1562096651904,174.68298007614658,180.30873559781114,0.007195850939092876,59.894556594413714,63.40574979189656,NaN,NaN,NaN,NaN,NaN,NaN
1688736600,189.37,194.56,186.1,186.53,179.29845119681275,186.96947342017003,175.87344682633486,181.2715571072688,0.002809376784228489,58.53384206119727,61.88983215416737,NaN,NaN,NaN,NaN,NaN,NaN
1688995800,185.33,186.48,174.7252,181.87,180.28500415204078,187.4977087133326,176.63241227641677,181.94352003154148,0.00016065545536468959,55.268912049778365,60.62654263821013,NaN,NaN,55.268912049778365,NaN,NaN,NaN
1689082200,181.98,184.57,177.68,183.73,181.11426209179115,187.7545370099676,177.17511105617683,182.39488297980532,0.00028046673840636003,56.316277385716404,59.37885127796499,NaN,NaN,NaN,NaN,NaN,NaN
1689168600,191.15,195.08,187.4401,193.17,181.75457253579825,188.16862745614583,177.87774375812606,183.0049736152611,0.006190329191586712,61.272511392996,59.31796571117112,NaN,NaN,NaN,NaN,NaN,NaN
